WID,LearnCondition,TrialName,LearnTest,TrialBase,TrialNumber,Response,NormResp,TrialType,IsLearning,RevType,CorrectResp,TrialOrd,Time
S078,0,Testing_CW_39_N,Weight,Testing_CW_39,39,L,L,CW,Testing,N,L,3,1885
S078,0,Testing_CD_39_N,Weight,Testing_CD_39,39,B,B,CD,Testing,N,L,4,1617
S078,0,Testing_CB_3_N,Weight,Testing_CB_3,3,R,R,CB,Testing,N,B,5,1714
S078,0,Testing_CW_7_N,Weight,Testing_CW_7,7,B,B,CW,Testing,N,L,6,2038
S078,0,Testing_CD_32_R,Weight,Testing_CD_32,32,B,B,CD,Testing,R,L,7,2927
S078,0,Testing_CB_38_R,Weight,Testing_CB_38,38,B,B,CB,Testing,R,B,8,2596
S078,0,Testing_CD_31_N,Weight,Testing_CD_31,31,L,L,CD,Testing,N,L,9,2326
S078,0,Testing_CW_3_N,Weight,Testing_CW_3,3,B,B,CW,Testing,N,L,10,2406
S078,0,Testing_CW_35_N,Weight,Testing_CW_35,35,L,L,CW,Testing,N,L,11,2484
S078,0,Testing_CW_40_R,Weight,Testing_CW_40,40,R,L,CW,Testing,R,L,12,1511
S078,0,Testing_CD_48_R,Weight,Testing_CD_48,48,B,B,CD,Testing,R,L,13,2832
S078,0,Testing_CB_10_R,Weight,Testing_CB_10,10,B,B,CB,Testing,R,B,14,2987
S078,0,Testing_CB_31_N,Weight,Testing_CB_31,31,L,L,CB,Testing,N,B,15,1869
S078,0,Testing_CW_30_R,Weight,Testing_CW_30,30,R,L,CW,Testing,R,L,16,1599
S078,0,Testing_CW_9_N,Weight,Testing_CW_9,9,L,L,CW,Testing,N,L,17,1353
S078,0,Testing_CW_28_R,Weight,Testing_CW_28,28,R,L,CW,Testing,R,L,18,1098
S078,0,Testing_CW_13_N,Weight,Testing_CW_13,13,L,L,CW,Testing,N,L,19,776
S078,0,Testing_CB_17_N,Weight,Testing_CB_17,17,B,B,CB,Testing,N,B,20,1491
S078,0,Testing_CB_47_N,Weight,Testing_CB_47,47,B,B,CB,Testing,N,B,21,2586
S078,0,Testing_CW_20_R,Weight,Testing_CW_20,20,R,L,CW,Testing,R,L,22,911
S078,0,Testing_CD_13_N,Weight,Testing_CD_13,13,L,L,CD,Testing,N,L,23,2898
S078,0,Testing_CW_32_R,Weight,Testing_CW_32,32,R,L,CW,Testing,R,L,24,2073
S078,0,Testing_CW_24_R,Weight,Testing_CW_24,24,R,L,CW,Testing,R,L,25,3479
S078,0,Testing_CW_22_R,Weight,Testing_CW_22,22,B,B,CW,Testing,R,L,26,3574
S078,0,Testing_CB_26_R,Weight,Testing_CB_26,26,B,B,CB,Testing,R,B,27,4657
S078,0,Testing_CB_46_R,Weight,Testing_CB_46,46,B,B,CB,Testing,R,B,28,1903
S078,0,Testing_CW_21_N,Weight,Testing_CW_21,21,L,L,CW,Testing,N,L,29,1115
S078,0,Testing_CW_11_N,Weight,Testing_CW_11,11,B,B,CW,Testing,N,L,30,3800
S078,0,Testing_CB_14_R,Weight,Testing_CB_14,14,B,B,CB,Testing,R,B,31,1761
S078,0,Testing_CW_45_N,Weight,Testing_CW_45,45,L,L,CW,Testing,N,L,32,1519
S078,0,Testing_CB_30_R,Weight,Testing_CB_30,30,B,B,CB,Testing,R,B,33,2580
S078,0,Testing_CW_42_R,Weight,Testing_CW_42,42,R,L,CW,Testing,R,L,34,1738
S078,0,Testing_CW_5_N,Weight,Testing_CW_5,5,B,B,CW,Testing,N,L,35,6314
S078,0,Testing_CW_0_R,Weight,Testing_CW_0,0,R,L,CW,Testing,R,L,36,1445
S078,0,Testing_CB_42_R,Weight,Testing_CB_42,42,B,B,CB,Testing,R,B,37,1065
S078,0,Testing_CD_25_N,Weight,Testing_CD_25,25,B,B,CD,Testing,N,L,38,2291
S078,0,Testing_CB_34_R,Weight,Testing_CB_34,34,R,L,CB,Testing,R,B,39,1911
S078,0,Testing_CD_40_R,Weight,Testing_CD_40,40,L,R,CD,Testing,R,L,40,2186
S078,0,Testing_CD_17_N,Weight,Testing_CD_17,17,B,B,CD,Testing,N,L,41,2345
S078,0,Testing_CD_35_N,Weight,Testing_CD_35,35,B,B,CD,Testing,N,L,42,2185
S078,0,Testing_CD_2_R,Weight,Testing_CD_2,2,R,L,CD,Testing,R,L,43,2966
S078,0,Testing_CD_44_R,Weight,Testing_CD_44,44,R,L,CD,Testing,R,L,44,2805
S078,0,Testing_CB_12_R,Weight,Testing_CB_12,12,B,B,CB,Testing,R,B,45,2090
S078,0,Testing_CD_36_R,Weight,Testing_CD_36,36,B,B,CD,Testing,R,L,46,2179
S078,0,Testing_CD_38_R,Weight,Testing_CD_38,38,R,L,CD,Testing,R,L,47,1331
S078,0,Testing_CD_10_R,Weight,Testing_CD_10,10,B,B,CD,Testing,R,L,48,1587
S078,0,Testing_CW_49_N,Weight,Testing_CW_49,49,L,L,CW,Testing,N,L,49,1916
S078,0,Testing_CW_29_N,Weight,Testing_CW_29,29,L,L,CW,Testing,N,L,50,3765
S078,0,Testing_CD_22_R,Weight,Testing_CD_22,22,R,L,CD,Testing,R,L,51,2406
S078,0,Testing_CD_46_R,Weight,Testing_CD_46,46,B,B,CD,Testing,R,L,52,1923
S078,0,Testing_CB_40_R,Weight,Testing_CB_40,40,B,B,CB,Testing,R,B,53,1828
S078,0,Testing_CB_21_N,Weight,Testing_CB_21,21,B,B,CB,Testing,N,B,54,2211
S078,0,Testing_CB_20_R,Weight,Testing_CB_20,20,R,L,CB,Testing,R,B,55,1772
S078,0,Testing_CD_16_R,Weight,Testing_CD_16,16,B,B,CD,Testing,R,L,56,5039
S078,0,Testing_CW_25_N,Weight,Testing_CW_25,25,B,B,CW,Testing,N,L,57,1530
S078,0,Testing_CD_7_N,Weight,Testing_CD_7,7,L,L,CD,Testing,N,L,58,1879
S078,0,Testing_CB_37_N,Weight,Testing_CB_37,37,L,L,CB,Testing,N,B,59,2857
S078,0,Testing_CD_4_R,Weight,Testing_CD_4,4,R,L,CD,Testing,R,L,60,2788
S078,0,Testing_CB_29_N,Weight,Testing_CB_29,29,B,B,CB,Testing,N,B,61,1712
S078,0,Testing_CB_2_R,Weight,Testing_CB_2,2,L,R,CB,Testing,R,B,62,1088
S078,0,Testing_CW_6_R,Weight,Testing_CW_6,6,R,L,CW,Testing,R,L,63,2579
S078,0,Testing_CB_43_N,Weight,Testing_CB_43,43,B,B,CB,Testing,N,B,64,1575
S078,0,Testing_CB_15_N,Weight,Testing_CB_15,15,L,L,CB,Testing,N,B,65,1779
S078,0,Testing_CD_21_N,Weight,Testing_CD_21,21,B,B,CD,Testing,N,L,66,3019
S078,0,Testing_CD_1_N,Weight,Testing_CD_1,1,L,L,CD,Testing,N,L,67,2764
S078,0,Testing_CB_45_N,Weight,Testing_CB_45,45,B,B,CB,Testing,N,B,68,2690
S078,0,Testing_CD_47_N,Weight,Testing_CD_47,47,L,L,CD,Testing,N,L,69,3081
S078,0,Testing_CD_9_N,Weight,Testing_CD_9,9,L,L,CD,Testing,N,L,70,2439
S078,0,Testing_CW_34_R,Weight,Testing_CW_34,34,R,L,CW,Testing,R,L,71,2552
S078,0,Testing_CW_15_N,Weight,Testing_CW_15,15,L,L,CW,Testing,N,L,72,2256
S078,0,Testing_CB_1_N,Weight,Testing_CB_1,1,B,B,CB,Testing,N,B,73,2089
S078,0,Testing_CB_48_R,Weight,Testing_CB_48,48,L,R,CB,Testing,R,B,74,1851
S078,0,Testing_CW_33_N,Weight,Testing_CW_33,33,B,B,CW,Testing,N,L,75,1415
S078,0,Testing_CW_27_N,Weight,Testing_CW_27,27,B,B,CW,Testing,N,L,76,1019
S078,0,Testing_CB_49_N,Weight,Testing_CB_49,49,R,R,CB,Testing,N,B,77,1738
S078,0,Testing_CW_8_R,Weight,Testing_CW_8,8,B,B,CW,Testing,R,L,78,2122
S078,0,Testing_CD_41_N,Weight,Testing_CD_41,41,L,L,CD,Testing,N,L,79,988
S078,0,Testing_CB_11_N,Weight,Testing_CB_11,11,L,L,CB,Testing,N,B,80,3760
S078,0,Testing_CD_3_N,Weight,Testing_CD_3,3,L,L,CD,Testing,N,L,81,2087
S078,0,Testing_CW_43_N,Weight,Testing_CW_43,43,B,B,CW,Testing,N,L,82,3171
S078,0,Testing_CB_35_N,Weight,Testing_CB_35,35,B,B,CB,Testing,N,B,83,2478
S078,0,Testing_CD_43_N,Weight,Testing_CD_43,43,L,L,CD,Testing,N,L,84,1383
S078,0,Testing_CD_27_N,Weight,Testing_CD_27,27,B,B,CD,Testing,N,L,85,3213
S078,0,Testing_CD_5_N,Weight,Testing_CD_5,5,L,L,CD,Testing,N,L,86,1372
S078,0,Testing_CD_42_R,Weight,Testing_CD_42,42,B,B,CD,Testing,R,L,87,1327
S078,0,Testing_CB_16_R,Weight,Testing_CB_16,16,B,B,CB,Testing,R,B,88,3191
S078,0,Testing_CB_18_R,Weight,Testing_CB_18,18,L,R,CB,Testing,R,B,89,1887
S078,0,Testing_CD_0_R,Weight,Testing_CD_0,0,R,L,CD,Testing,R,L,90,1853
S078,0,Testing_CB_24_R,Weight,Testing_CB_24,24,R,L,CB,Testing,R,B,91,1879
S078,0,Testing_CD_30_R,Weight,Testing_CD_30,30,R,L,CD,Testing,R,L,92,2647
S078,0,Testing_CW_2_R,Weight,Testing_CW_2,2,L,R,CW,Testing,R,L,93,2424
S078,0,Testing_CW_16_R,Weight,Testing_CW_16,16,B,B,CW,Testing,R,L,94,2293
S078,0,Testing_CD_6_R,Weight,Testing_CD_6,6,R,L,CD,Testing,R,L,95,1473
S078,0,Testing_CD_26_R,Weight,Testing_CD_26,26,R,L,CD,Testing,R,L,96,2812
S078,0,Testing_CD_37_N,Weight,Testing_CD_37,37,L,L,CD,Testing,N,L,97,2151
S078,0,Testing_CB_27_N,Weight,Testing_CB_27,27,L,L,CB,Testing,N,B,98,3073
S078,0,Testing_CW_19_N,Weight,Testing_CW_19,19,B,B,CW,Testing,N,L,99,2708
S078,0,Testing_CB_33_N,Weight,Testing_CB_33,33,B,B,CB,Testing,N,B,100,1348
S078,0,Testing_CD_11_N,Weight,Testing_CD_11,11,L,L,CD,Testing,N,L,101,1399
S078,0,Testing_CD_20_R,Weight,Testing_CD_20,20,R,L,CD,Testing,R,L,102,1751
S078,0,Testing_CD_14_R,Weight,Testing_CD_14,14,B,B,CD,Testing,R,L,103,1110
S078,0,Testing_CW_46_R,Weight,Testing_CW_46,46,B,B,CW,Testing,R,L,104,2336
S078,0,Testing_CW_23_N,Weight,Testing_CW_23,23,B,B,CW,Testing,N,L,105,2962
S078,0,Testing_CB_44_R,Weight,Testing_CB_44,44,L,R,CB,Testing,R,B,106,2774
S078,0,Testing_CW_12_R,Weight,Testing_CW_12,12,B,B,CW,Testing,R,L,107,2670
S078,0,Testing_CB_23_N,Weight,Testing_CB_23,23,R,R,CB,Testing,N,B,108,1551
S078,0,Testing_CW_1_N,Weight,Testing_CW_1,1,B,B,CW,Testing,N,L,109,1798
S078,0,Testing_CD_15_N,Weight,Testing_CD_15,15,L,L,CD,Testing,N,L,110,1265
S078,0,Testing_CB_4_R,Weight,Testing_CB_4,4,L,R,CB,Testing,R,B,111,1849
S078,0,Testing_CW_48_R,Weight,Testing_CW_48,48,L,R,CW,Testing,R,L,112,2980
S078,0,Testing_CD_12_R,Weight,Testing_CD_12,12,B,B,CD,Testing,R,L,113,3547
S078,0,Testing_CD_8_R,Weight,Testing_CD_8,8,R,L,CD,Testing,R,L,114,1693
S078,0,Testing_CW_44_R,Weight,Testing_CW_44,44,B,B,CW,Testing,R,L,115,1305
S078,0,Testing_CD_45_N,Weight,Testing_CD_45,45,L,L,CD,Testing,N,L,116,1379
S078,0,Testing_CB_13_N,Weight,Testing_CB_13,13,B,B,CB,Testing,N,B,117,3236
S078,0,Testing_CB_41_N,Weight,Testing_CB_41,41,R,R,CB,Testing,N,B,118,2559
S078,0,Testing_CB_32_R,Weight,Testing_CB_32,32,B,B,CB,Testing,R,B,119,1752
S078,0,Testing_CW_36_R,Weight,Testing_CW_36,36,B,B,CW,Testing,R,L,120,2408
S078,0,Testing_CD_18_R,Weight,Testing_CD_18,18,B,B,CD,Testing,R,L,121,3125
S078,0,Testing_CW_31_N,Weight,Testing_CW_31,31,L,L,CW,Testing,N,L,122,2494
S078,0,Testing_CW_14_R,Weight,Testing_CW_14,14,R,L,CW,Testing,R,L,123,2329
S078,0,Testing_CB_28_R,Weight,Testing_CB_28,28,B,B,CB,Testing,R,B,124,1500
S078,0,Testing_CW_41_N,Weight,Testing_CW_41,41,L,L,CW,Testing,N,L,125,3847
S078,0,Testing_CW_10_R,Weight,Testing_CW_10,10,R,L,CW,Testing,R,L,126,1602
S078,0,Testing_CW_37_N,Weight,Testing_CW_37,37,B,B,CW,Testing,N,L,127,3062
S078,0,Testing_CB_8_R,Weight,Testing_CB_8,8,R,L,CB,Testing,R,B,128,2514
S078,0,Testing_CB_9_N,Weight,Testing_CB_9,9,L,L,CB,Testing,N,B,129,2856
S078,0,Testing_CB_19_N,Weight,Testing_CB_19,19,B,B,CB,Testing,N,B,130,2751
S078,0,Testing_CB_22_R,Weight,Testing_CB_22,22,B,B,CB,Testing,R,B,131,2295
S078,0,Testing_CW_26_R,Weight,Testing_CW_26,26,B,B,CW,Testing,R,L,132,2755
S078,0,Testing_CB_25_N,Weight,Testing_CB_25,25,B,B,CB,Testing,N,B,133,1736
S078,0,Testing_CD_28_R,Weight,Testing_CD_28,28,R,L,CD,Testing,R,L,134,1595
S078,0,Testing_CD_49_N,Weight,Testing_CD_49,49,B,B,CD,Testing,N,L,135,2506
S078,0,Testing_CD_34_R,Weight,Testing_CD_34,34,R,L,CD,Testing,R,L,136,2478
S078,0,Testing_CB_5_N,Weight,Testing_CB_5,5,B,B,CB,Testing,N,B,137,2372
S078,0,Testing_CW_18_R,Weight,Testing_CW_18,18,R,L,CW,Testing,R,L,138,1467
S078,0,Testing_CB_0_R,Weight,Testing_CB_0,0,R,L,CB,Testing,R,B,139,3415
S078,0,Testing_CD_19_N,Weight,Testing_CD_19,19,B,B,CD,Testing,N,L,140,2773
S078,0,Testing_CB_39_N,Weight,Testing_CB_39,39,B,B,CB,Testing,N,B,141,2275
S078,0,Testing_CB_6_R,Weight,Testing_CB_6,6,R,L,CB,Testing,R,B,142,4064
S078,0,Testing_CB_36_R,Weight,Testing_CB_36,36,R,L,CB,Testing,R,B,143,2131
S078,0,Testing_CD_23_N,Weight,Testing_CD_23,23,B,B,CD,Testing,N,L,144,2698
S078,0,Testing_CW_47_N,Weight,Testing_CW_47,47,L,L,CW,Testing,N,L,145,4008
S078,0,Testing_CD_29_N,Weight,Testing_CD_29,29,B,B,CD,Testing,N,L,146,2014
S078,0,Testing_CW_17_N,Weight,Testing_CW_17,17,L,L,CW,Testing,N,L,147,2729
S078,0,Testing_CD_33_N,Weight,Testing_CD_33,33,L,L,CD,Testing,N,L,148,3186
S078,0,Testing_CW_4_R,Weight,Testing_CW_4,4,R,L,CW,Testing,R,L,149,2422
S079,3,Learning_CW_2_N,Dist,Learning_CW_2,2,L,L,CW,Learning,N,L,0,10280
S079,3,Learning_CD_12_N,Dist,Learning_CD_12,12,B,B,CD,Learning,N,L,1,6783
S079,3,Learning_IB_3_R,Dist,Learning_IB_3,3,B,B,IB,Learning,R,L,2,10859
S079,3,Learning_IB_7_R,Dist,Learning_IB_7,7,B,B,IB,Learning,R,L,3,7368
S079,3,Learning_CD_10_N,Dist,Learning_CD_10,10,B,B,CD,Learning,N,L,4,6772
S079,3,Learning_CW_0_N,Dist,Learning_CW_0,0,L,L,CW,Learning,N,L,5,2905
S079,3,Learning_CD_0_N,Dist,Learning_CD_0,0,L,L,CD,Learning,N,L,6,41590
S079,3,Learning_CD_15_R,Dist,Learning_CD_15,15,B,B,CD,Learning,R,L,7,2722
S079,3,Learning_IB_0_N,Dist,Learning_IB_0,0,B,B,IB,Learning,N,L,8,6121
S079,3,Learning_CD_9_R,Dist,Learning_CD_9,9,R,L,CD,Learning,R,L,9,6276
S079,3,Learning_CD_6_N,Dist,Learning_CD_6,6,B,B,CD,Learning,N,L,10,2960
S079,3,Learning_CD_3_R,Dist,Learning_CD_3,3,R,L,CD,Learning,R,L,11,1819
S079,3,Learning_IB_1_R,Dist,Learning_IB_1,1,B,B,IB,Learning,R,L,12,2818
S079,3,Learning_CD_8_N,Dist,Learning_CD_8,8,L,L,CD,Learning,N,L,13,2394
S079,3,Learning_CD_4_N,Dist,Learning_CD_4,4,L,L,CD,Learning,N,L,14,3632
S079,3,Learning_IB_6_N,Dist,Learning_IB_6,6,L,L,IB,Learning,N,L,15,1810
S079,3,Learning_CD_11_R,Dist,Learning_CD_11,11,R,L,CD,Learning,R,L,16,3044
S079,3,Learning_CD_14_N,Dist,Learning_CD_14,14,L,L,CD,Learning,N,L,17,1889
S079,3,Learning_IB_8_N,Dist,Learning_IB_8,8,L,L,IB,Learning,N,L,18,2130
S079,3,Learning_CD_7_R,Dist,Learning_CD_7,7,R,L,CD,Learning,R,L,19,1573
S079,3,Learning_CW_1_R,Dist,Learning_CW_1,1,R,L,CW,Learning,R,L,20,2062
S079,3,Learning_CW_3_R,Dist,Learning_CW_3,3,R,L,CW,Learning,R,L,21,1269
S079,3,Learning_IB_4_N,Dist,Learning_IB_4,4,B,B,IB,Learning,N,L,22,2046
S079,3,Learning_CD_1_R,Dist,Learning_CD_1,1,R,L,CD,Learning,R,L,23,1363
S079,3,Learning_IB_2_N,Dist,Learning_IB_2,2,L,L,IB,Learning,N,L,24,1738
S079,3,Learning_CD_5_R,Dist,Learning_CD_5,5,R,L,CD,Learning,R,L,25,1913
S079,3,Learning_CD_13_R,Dist,Learning_CD_13,13,R,L,CD,Learning,R,L,26,16217
S079,3,Learning_IB_9_R,Dist,Learning_IB_9,9,B,B,IB,Learning,R,L,27,2852
S079,3,Learning_CD_2_N,Dist,Learning_CD_2,2,L,L,CD,Learning,N,L,28,2745
S079,3,Learning_IB_5_R,Dist,Learning_IB_5,5,R,L,IB,Learning,R,L,29,2657
S079,3,Testing_CB_29_R,Dist,Testing_CB_29,29,L,R,CB,Testing,R,B,0,26748
S079,3,Testing_CW_47_R,Dist,Testing_CW_47,47,R,L,CW,Testing,R,L,1,2364
S079,3,Testing_CD_14_N,Dist,Testing_CD_14,14,B,B,CD,Testing,N,L,2,2281
S079,3,Testing_CB_30_N,Dist,Testing_CB_30,30,R,R,CB,Testing,N,B,3,2447
S079,3,Testing_CB_16_N,Dist,Testing_CB_16,16,R,R,CB,Testing,N,B,4,1909
S079,3,Testing_CB_17_R,Dist,Testing_CB_17,17,B,B,CB,Testing,R,B,5,2014
S079,3,Testing_CB_22_N,Dist,Testing_CB_22,22,R,R,CB,Testing,N,B,6,27525
S079,3,Testing_CW_31_R,Dist,Testing_CW_31,31,R,L,CW,Testing,R,L,7,1644
S079,3,Testing_CB_9_R,Dist,Testing_CB_9,9,B,B,CB,Testing,R,B,8,3986
S079,3,Testing_CB_47_R,Dist,Testing_CB_47,47,R,L,CB,Testing,R,B,9,1358
S079,3,Testing_CD_0_N,Dist,Testing_CD_0,0,B,B,CD,Testing,N,L,10,4037
S079,3,Testing_CB_20_N,Dist,Testing_CB_20,20,L,L,CB,Testing,N,B,11,2532
S079,3,Testing_CB_25_R,Dist,Testing_CB_25,25,B,B,CB,Testing,R,B,12,2447
S079,3,Testing_CB_46_N,Dist,Testing_CB_46,46,R,R,CB,Testing,N,B,13,3078
S079,3,Testing_CW_2_N,Dist,Testing_CW_2,2,L,L,CW,Testing,N,L,14,2033
S079,3,Testing_CD_32_N,Dist,Testing_CD_32,32,B,B,CD,Testing,N,L,15,3897
S079,3,Testing_CD_10_N,Dist,Testing_CD_10,10,L,L,CD,Testing,N,L,16,3068
S079,3,Testing_CB_6_N,Dist,Testing_CB_6,6,R,R,CB,Testing,N,B,17,3664
S079,3,Testing_CD_1_R,Dist,Testing_CD_1,1,B,B,CD,Testing,R,L,18,1436
S079,3,Testing_CW_1_R,Dist,Testing_CW_1,1,R,L,CW,Testing,R,L,19,2649
S079,3,Testing_CB_13_R,Dist,Testing_CB_13,13,R,L,CB,Testing,R,B,20,1805
S079,3,Testing_CW_46_N,Dist,Testing_CW_46,46,L,L,CW,Testing,N,L,21,3297
S079,3,Testing_CD_43_R,Dist,Testing_CD_43,43,B,B,CD,Testing,R,L,22,2120
S079,3,Testing_CW_17_R,Dist,Testing_CW_17,17,R,L,CW,Testing,R,L,23,1507
S079,3,Testing_CD_31_R,Dist,Testing_CD_31,31,B,B,CD,Testing,R,L,24,2123
S079,3,Testing_CB_41_R,Dist,Testing_CB_41,41,B,B,CB,Testing,R,B,25,6263
S079,3,Testing_CD_47_R,Dist,Testing_CD_47,47,B,B,CD,Testing,R,L,26,1755
S079,3,Testing_CW_20_N,Dist,Testing_CW_20,20,R,R,CW,Testing,N,L,27,2332
S079,3,Testing_CW_24_N,Dist,Testing_CW_24,24,L,L,CW,Testing,N,L,28,3564
S079,3,Testing_CD_24_N,Dist,Testing_CD_24,24,L,L,CD,Testing,N,L,29,1683
S079,3,Testing_CD_22_N,Dist,Testing_CD_22,22,L,L,CD,Testing,N,L,30,2253
S079,3,Testing_CW_36_N,Dist,Testing_CW_36,36,B,B,CW,Testing,N,L,31,2126
S079,3,Testing_CB_3_R,Dist,Testing_CB_3,3,B,B,CB,Testing,R,B,32,4869
S079,3,Testing_CB_23_R,Dist,Testing_CB_23,23,B,B,CB,Testing,R,B,33,2489
S079,3,Testing_CW_39_R,Dist,Testing_CW_39,39,B,B,CW,Testing,R,L,34,3680
S079,3,Testing_CD_9_R,Dist,Testing_CD_9,9,R,L,CD,Testing,R,L,35,1482
S079,3,Testing_CB_11_R,Dist,Testing_CB_11,11,B,B,CB,Testing,R,B,36,3347
S079,3,Testing_CW_22_N,Dist,Testing_CW_22,22,L,L,CW,Testing,N,L,37,2218
S079,3,Testing_CD_8_N,Dist,Testing_CD_8,8,L,L,CD,Testing,N,L,38,3024
S079,3,Testing_CD_37_R,Dist,Testing_CD_37,37,B,B,CD,Testing,R,L,39,1975
S079,3,Testing_CD_30_N,Dist,Testing_CD_30,30,L,L,CD,Testing,N,L,40,1493
S079,3,Testing_CB_28_N,Dist,Testing_CB_28,28,B,B,CB,Testing,N,B,41,3636
S079,3,Testing_CB_18_N,Dist,Testing_CB_18,18,R,R,CB,Testing,N,B,42,2754
S079,3,Testing_CD_6_N,Dist,Testing_CD_6,6,L,L,CD,Testing,N,L,43,1855
S079,3,Testing_CD_3_R,Dist,Testing_CD_3,3,R,L,CD,Testing,R,L,44,3254
S079,3,Testing_CB_4_N,Dist,Testing_CB_4,4,L,L,CB,Testing,N,B,45,1779
S079,3,Testing_CW_44_N,Dist,Testing_CW_44,44,B,B,CW,Testing,N,L,46,5450
S079,3,Testing_CW_33_R,Dist,Testing_CW_33,33,B,B,CW,Testing,R,L,47,42546
S079,3,Testing_CD_41_R,Dist,Testing_CD_41,41,R,L,CD,Testing,R,L,48,1217
S079,3,Testing_CB_0_N,Dist,Testing_CB_0,0,R,R,CB,Testing,N,B,49,1833
S079,3,Testing_CW_34_N,Dist,Testing_CW_34,34,L,L,CW,Testing,N,L,50,2590
S079,3,Testing_CD_5_R,Dist,Testing_CD_5,5,B,B,CD,Testing,R,L,51,3524
S079,3,Testing_CD_19_R,Dist,Testing_CD_19,19,R,L,CD,Testing,R,L,52,1250
S079,3,Testing_CW_11_R,Dist,Testing_CW_11,11,R,L,CW,Testing,R,L,53,3250
S079,3,Testing_CB_5_R,Dist,Testing_CB_5,5,B,B,CB,Testing,R,B,54,2563
S079,3,Testing_CB_38_N,Dist,Testing_CB_38,38,R,R,CB,Testing,N,B,55,2972
S079,3,Testing_CD_25_R,Dist,Testing_CD_25,25,B,B,CD,Testing,R,L,56,1843
S079,3,Testing_CW_27_R,Dist,Testing_CW_27,27,B,B,CW,Testing,R,L,57,2129
S079,3,Testing_CB_34_N,Dist,Testing_CB_34,34,B,B,CB,Testing,N,B,58,3214
S079,3,Testing_CB_48_N,Dist,Testing_CB_48,48,B,B,CB,Testing,N,B,59,1753
S079,3,Testing_CW_16_N,Dist,Testing_CW_16,16,R,R,CW,Testing,N,L,60,4023
